brand,sell_type,price,name,discount_price
Coppertone/水宝宝,一口价,49,Coppertone水宝宝防晒霜SPF50 温和配方 不油腻,80
原生黄,一口价,106,原生黄卫生巾月安心组合  全棉柔组合6包装,170.8
贝医生,一口价,59,新品 贝医生0+专研美白牙膏 140g 三支装,79
KRACIE/肌美精,一口价,79,KRACIE 肌美精3D保湿面膜30ml 4片,99
珀莱雅,一口价,79,珀莱雅玩转地球防晒BB霜旅行套装,234
Eaoron,一口价,109,EAORON美白精华油胶囊 10粒 108粒 两款可选,398
原生黄,一口价,118,原生黄卫生巾流量包组合 全棉柔组合,168.8
兰芝/Laneige,一口价,149,兰芝水库凝肌活颜精华爽肤水200ML 清爽型 水润舒缓 水油平衡,199
lena,一口价,139,lena单功能陶瓷电卷发棒LN-507,139
水密码,一口价,99,水密码人鱼膜法黑白配面膜 30片,139
CASMARA,一口价,79,Casmara卡蔓涂抹式面膜,128
素野,一口价,298,素野心水保湿三件套 1套装,298
化妆品1,一口价,109,一叶子水润焕采蝶翼眼膜 10片每盒 20片装规格可选,150
青茶萃,一口价,89,大三湘青茶萃控油无硅山茶洗发水 500ml,99
丸美,一口价,119,新品 丸美紧致眼袋眼凝胶25g,159
水宝宝/Coppertone,一口价,59,Coppertone水宝宝水嫩持续防晒喷雾SPF50 170g 芦荟胶226g 可选,99
金稻,一口价,278,金稻冷热温三合一离子蒸脸仪,278
小迷糊,一口价,398,精品套包 相宜本草莲花生水涟涟好运礼盒,398
范思哲/Versace,一口价,149,范思哲 Versace 蓝色牛仔可乐中性男士淡香水75ml  清新木质香调,169
BURBERRY,一口价,139,博柏利BURBERRY伦敦布格淡香水 淡香精 花香调,179
范思哲/Versace,一口价,298,范思哲同名男士淡香水50ml  低调  典雅,298
宝格丽/Bvlgari,一口价,359,宝格丽新款海洋活力海洋能量淡香水100ml,359
SK2,一口价,409,SK-II 超解析光感钻白修护凝霜UV 50g,599
高姿,一口价,398,开店礼包 高姿萃白奢宠臻享礼盒,569
希思黎/Sisley,一口价,679,Sisley希思黎全能乳液 深层滋养,899
JM Solution/肌司研,一口价,69,JM Solution 莹润蜂胶眼霜（黒臻版）40ml,99
蔻斯汀,一口价,99,新品 蔻斯汀花瓣沐浴露 樱花 茉莉 玫瑰 380ml 共三瓶,132
雅诗兰黛/EsteeLauder,一口价,519,雅诗兰黛多效智妍系列套装,699
SOS,一口价,65,德国sos液体创口贴 60ml,99
水宝宝/Coppertone,一口价,89,Coppertone水宝宝防晒喷雾KIDS版 SPF50 177ml瓶,159
雪花秀/SULWHASOO,一口价,199,雪花秀顺行洗面奶 柔和洁颜泡沫 洁面卸妆油 200ml 可选,268
P&S,一口价,149,今日爆款 P＆S水光无瑕羽感气垫霜,398
阿玛尼/Armani,一口价,479,Armani阿玛尼 Maestro大师滴管Glow精油滴管粉底液 30ml 保湿遮瑕 修饰肤色,499
兰蔻,一口价,439,兰蔻清滢速洁眼部卸妆水200ml 2瓶装,529
佰草集,一口价,698,精品套包 佰草集新玉润保湿尊享礼盒,698
宝格丽/Bvlgari,一口价,319,宝格丽碧蓝水能量男士淡香水,399
Refa,一口价,1599,ReFa滚轮按摩美容仪   提拉紧致,1599
御泥坊男士,一口价,45,御泥坊男士橄榄石畅透亮肤黑面膜5片,99
碧欧泉/Biotherm,一口价,319,碧欧泉男士水凝润泽霜套装 两款可选,350
LG,一口价,59,LG ON THE BODY 开司米香水身体乳 甜蜜恋爱 400ml,99
丸美,一口价,308,丸美 白色之恋纯白淡黑眼霜20g,338
诗梅迪SUR.MEDIC,一口价,188,韩国 诗梅迪SUR.MEDIC24K金黄金金箔高浓缩精华液 100ml,380
breeze,一口价,599,新品  breeze倍滋智能健腹器 塑形健身,799
相宜本草,一口价,259,新品 相宜本草四倍蚕丝凝亮补水尊享护肤6件套,498
御泥坊,一口价,599,精品套包 御泥坊小金瓶鎏金臻颜五件套礼盒,998
Embryolisse,一口价,138,新品 Embryolisse 保湿妆前乳 保湿霜 法国大宝,178
